income,age,debt_ratio,employment_years,credit_history_length,past_defaults,default
69934.28306022465,60,0.1153383285999186,34,25,0,1
57234.713976576306,21,0.7179982768770511,32,11,1,1
72953.77076201385,24,0.23675591485406866,19,24,0,1
90460.5971281605,50,0.13512369090450982,15,12,1,1
55316.93250553328,32,0.6229589543240633,8,13,1,1
55317.26086101639,55,0.7191489030589379,30,16,0,1
91584.25631014783,33,0.7510633052742746,16,16,0,1
75348.69458305818,51,0.49480734612848,30,19,1,1
50610.51228130096,58,0.26429454775198824,22,23,1,1
70851.2008717193,63,0.6897821417998614,5,20,0,1
50731.64614375075,43,0.6597704617234698,29,21,0,1
50685.404928594864,24,0.2970165872825386,6,20,1,1
64839.24543132068,36,0.8227262046902344,39,9,0,1
21734.395106844044,27,0.1834971664662632,10,16,0,1
25501.643349739345,42,0.8861505916730605,33,27,1,1
48754.249415180544,49,0.7881982487819718,11,7,0,1
39743.377593311525,31,0.6503189163832601,26,13,0,1
66284.94665190548,53,0.8509999106238663,11,4,1,1
41839.518489575785,49,0.6778489346589662,12,13,0,1
31753.925973294172,59,0.25236559762403676,7,8,0,1
89312.97537843109,32,0.45372491049024943,15,2,0,1
55484.47399026929,27,0.1572024194653083,28,7,0,1
61350.564093758476,59,0.4117259378304924,34,11,0,1
31505.036275730865,62,0.6932824157897669,28,17,1,1
49112.34550949634,68,0.4091546807446539,30,24,0,1
62218.451794197324,46,0.36423534037450733,12,29,0,1
36980.128451553945,60,0.5762845780082495,11,14,1,1
67513.96036691344,29,0.797763623199116,1,28,0,1
47987.2262016239,61,0.13806655403688994,32,13,0,1
54166.12500413446,54,0.40837634775978837,7,15,0,1
47965.867755412066,65,0.22659259345221017,39,22,1,1
97045.56369017877,33,0.6562834005854957,31,28,0,1
59730.05550524132,56,0.18457964834490792,37,21,1,1
38845.78142088199,45,0.6318462068641957,27,25,0,1
76450.89824206378,44,0.3289446966383259,14,9,0,1
35583.12700057955,64,0.2591334509897798,22,3,0,1
64177.27190009511,37,0.8490820462599883,23,25,0,1
20806.59752240449,22,0.1148196613967647,12,13,0,1
33436.27902203139,33,0.45022181751165513,20,13,1,1
63937.22471738247,51,0.11730159396943503,11,9,0,1
74769.33159990821,49,0.48687443848346323,12,18,0,1
63427.36562379941,48,0.5008379022355346,38,5,0,1
57687.03435223519,47,0.3573299771157976,22,11,1,1
53977.926088214226,35,0.20572942202001895,27,2,1,1
30429.560192651454,51,0.4011100301875803,13,17,0,1
45603.115832105825,60,0.6378103519460528,16,23,0,1
50787.22458080425,35,0.7259166469155673,23,20,0,1
81142.44452437831,53,0.5246004819105139,33,21,0,1
66872.36579136923,40,0.5718675155518045,21,4,1,1
24739.19689274532,62,0.26049309689972217,9,22,1,1
66481.6793878959,32,0.32986426658211954,7,27,0,1
52298.35439167367,57,0.22951648804188673,20,18,0,1
46461.55999388083,29,0.29943628000368905,36,24,0,1
72233.52577681736,43,0.2799094241804254,6,20,1,1
80619.99044991902,28,0.5155590291129901,25,8,1,1
78625.60238232397,52,0.5501510046325836,12,19,1,1
43215.64953554723,68,0.8559579366572037,15,12,0,1
53815.75248297571,34,0.25645651768121847,29,28,0,1
66625.26862807128,47,0.6133405681291968,30,11,0,1
79510.90254244718,45,0.7538074151900184,4,16,0,1
50416.5152430942,33,0.548193171026442,31,5,0,1
56286.82046672366,41,0.30400292200086054,15,28,0,1
37873.300519879434,65,0.3100401840160002,8,3,0,1
36075.867518386585,51,0.13140244245679994,21,12,1,1
76250.51644788396,57,0.3443553812387854,39,15,1,1
87124.80057141646,68,0.6956829432027041,36,16,0,1
58559.797568393325,63,0.13801420576568832,13,13,0,1
80070.65795784048,25,0.2754362260038645,15,7,0,1
67232.72050095268,33,0.6649859988254255,19,15,2,1
47097.60490789751,48,0.7261212502583013,14,3,1,1
67227.91211016828,63,0.4642547280495427,25,12,1,1
90760.73132931939,45,0.6584594707829191,8,8,2,1
59283.47921780097,55,0.4103617349239136,0,25,0,1
91292.87311628013,67,0.22793059601930202,34,29,0,0
20000.0,59,0.41851959481832524,19,12,0,1
76438.05008750448,27,0.5639742561625143,5,18,1,1
61740.94136476342,58,0.8584426254823122,9,3,0,1
54019.85299068265,52,0.15500076167094187,32,12,0,1
61835.21553071005,23,0.5059152750759685,15,29,0,1
20248.621707982144,65,0.36313582256857957,35,23,0,1
55606.56224324976,59,0.5066493554213557,5,21,1,1
67142.25143023493,57,0.11918035790122535,18,26,0,1
89557.88089483032,42,0.3504202837612651,30,23,0,1
49634.59563452705,28,0.755894518021604,1,2,0,1
43830.12794213625,37,0.5431533870837101,17,14,0,1
49964.85912830927,47,0.4604659942528939,27,14,0,1
78308.04235404148,53,0.32842005737227165,3,4,1,1
66575.02219319368,66,0.3384340182330847,0,17,1,1
49404.79592465922,37,0.4064811468724676,15,15,1,1
70265.34866226712,62,0.7684565679716483,1,16,1,1
61941.55098696081,32,0.8737705654466147,35,5,0,1
79372.89981065778,68,0.4509243050802997,0,24,1,1
45958.93812245295,66,0.41468227099820953,38,17,0,1
53446.75706804464,47,0.7772406206558903,22,23,0,1
52157.83693735685,68,0.4415242565090429,25,7,2,1
30729.701037357627,28,0.541614537836521,10,23,0,1
65922.40554129152,43,0.2847533316789955,0,15,1,1
65221.105443597786,62,0.6948020286232601,10,17,1,1
60102.269132849215,69,0.5255906546166255,23,12,0,1
55308.25733249706,49,0.7472276401922734,9,11,0,1
31692.585158991715,40,0.7245861840229358,13,19,0,1
51587.09354469282,36,0.27200381461602285,13,11,0,1
53145.70966946461,37,0.6725084404462099,6,2,0,1
43954.45461556762,36,0.7400435263610972,22,15,0,1
56774.285766679815,39,0.37688579262591604,21,5,0,1
68081.01713629077,28,0.23808729032181963,35,18,0,1
97723.7180242106,58,0.10210572446367056,26,29,0,0
63491.55625663678,58,0.4607229224745185,1,21,0,1
65151.00781445529,49,0.38194618523107327,38,21,0,1
58511.081684676654,61,0.5439278670603271,18,16,0,1
21624.57569401917,56,0.25043287407102865,6,4,0,1
59469.722491015666,46,0.7877324381331802,11,27,1,1
61204.604198820525,51,0.30620417250248777,2,23,1,1
109264.84224970572,64,0.28114368407012,4,10,1,1
56152.78070437755,32,0.48457124518748473,7,22,0,1
66030.94684667225,37,0.49908081899541945,13,2,1,1
